line,sid,msg,rule
37,224,PROTOCOL-ICMP Stacheldraht server spoof,"alert icmp 3.3.3.3/32 any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Stacheldraht server spoof""; icmp_id:666; itype:0; metadata:ruleset community; reference:cve,2000-0138; classtype:attempted-dos; sid:224; rev:10; )"
41,228,PROTOCOL-ICMP TFN client command BE,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP TFN client command BE""; icmp_id:456; icmp_seq:0; itype:0; pcre:""/^[0-9]{1,5}\x00/""; metadata:ruleset community; reference:cve,2000-0138; classtype:attempted-dos; sid:228; rev:11; )"
61,251,PROTOCOL-ICMP - TFN client command LE,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP - TFN client command LE""; icmp_id:51201; icmp_seq:0; itype:0; pcre:""/^[0-9]{1,5}\x00/""; metadata:ruleset community; reference:cve,2000-0138; classtype:attempted-dos; sid:251; rev:11; )"
76,271,SERVER-OTHER UDP echo+chargen bomb,"alert udp any 19 <> any 7 ( msg:""SERVER-OTHER UDP echo+chargen bomb""; flow:to_server; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0103; reference:cve,1999-0635; classtype:attempted-dos; sid:271; rev:12; )"
77,272,OS-WINDOWS Microsoft WIndows IGMP dos attack,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""OS-WINDOWS Microsoft WIndows IGMP dos attack""; fragbits:M+; ip_proto:2; metadata:ruleset community; reference:bugtraq,514; reference:cve,1999-0918; reference:url,technet.microsoft.com/en-us/security/bulletin/MS99-034; classtype:attempted-dos; sid:272; rev:16; )"
82,279,SERVER-OTHER Bay/Nortel Nautica Marlin,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""SERVER-OTHER Bay/Nortel Nautica Marlin""; flow:to_server; dsize:0; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,1009; reference:cve,2000-0221; classtype:attempted-dos; sid:279; rev:11; )"
134,363,PROTOCOL-ICMP IRDP router advertisement,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router advertisement""; itype:9; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:363; rev:11; )"
135,364,PROTOCOL-ICMP IRDP router selection,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router selection""; itype:10; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:364; rev:11; )"
136,365,PROTOCOL-ICMP PING undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING undefined code""; icode:>0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:365; rev:11; )"
145,375,PROTOCOL-ICMP PING LINUX/*BSD,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING LINUX/*BSD""; dsize:8; id:13170; itype:8; metadata:ruleset community; classtype:misc-activity; sid:375; rev:10; )"
151,381,PROTOCOL-ICMP PING Oracle Solaris,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Oracle Solaris""; dsize:8; itype:8; metadata:ruleset community; classtype:misc-activity; sid:381; rev:11; )"
153,384,PROTOCOL-ICMP PING,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING""; icode:0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:384; rev:8; )"
154,385,PROTOCOL-ICMP traceroute,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP traceroute""; itype:8; ttl:1; metadata:ruleset community; classtype:attempted-recon; sid:385; rev:8; )"
155,386,PROTOCOL-ICMP Address Mask Reply,"alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Address Mask Reply""; icode:0; itype:18; metadata:ruleset community; classtype:misc-activity; sid:386; rev:8; )"
156,387,PROTOCOL-ICMP Address Mask Reply undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Reply undefined code""; icode:>0; itype:18; metadata:ruleset community; classtype:misc-activity; sid:387; rev:10; )"
157,388,PROTOCOL-ICMP Address Mask Request,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Request""; icode:0; itype:17; metadata:ruleset community; classtype:misc-activity; sid:388; rev:8; )"
158,389,PROTOCOL-ICMP Address Mask Request undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Request undefined code""; icode:>0; itype:17; metadata:ruleset community; classtype:misc-activity; sid:389; rev:10; )"
159,390,PROTOCOL-ICMP Alternate Host Address,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Alternate Host Address""; icode:0; itype:6; metadata:ruleset community; classtype:misc-activity; sid:390; rev:8; )"
160,391,PROTOCOL-ICMP Alternate Host Address undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Alternate Host Address undefined code""; icode:>0; itype:6; metadata:ruleset community; classtype:misc-activity; sid:391; rev:11; )"
161,392,PROTOCOL-ICMP Datagram Conversion Error,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Datagram Conversion Error""; icode:0; itype:31; metadata:ruleset community; classtype:misc-activity; sid:392; rev:8; )"
162,393,PROTOCOL-ICMP Datagram Conversion Error undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Datagram Conversion Error undefined code""; icode:>0; itype:31; metadata:ruleset community; classtype:misc-activity; sid:393; rev:11; )"
163,394,PROTOCOL-ICMP Destination Unreachable Destination Host Unknown,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Destination Host Unknown""; icode:7; itype:3; metadata:ruleset community; classtype:misc-activity; sid:394; rev:9; )"
164,395,PROTOCOL-ICMP Destination Unreachable Destination Network Unknown,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Destination Network Unknown""; icode:6; itype:3; metadata:ruleset community; classtype:misc-activity; sid:395; rev:9; )"
165,396,PROTOCOL-ICMP Destination Unreachable Fragmentation Needed and DF bit was set,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Fragmentation Needed and DF bit was set""; icode:4; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; reference:cve,2015-7759; classtype:misc-activity; sid:396; rev:12; )"
166,397,PROTOCOL-ICMP Destination Unreachable Host Precedence Violation,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Precedence Violation""; icode:14; itype:3; metadata:ruleset community; classtype:misc-activity; sid:397; rev:9; )"
167,398,PROTOCOL-ICMP Destination Unreachable Host Unreachable for Type of Service,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Unreachable for Type of Service""; icode:12; itype:3; metadata:ruleset community; classtype:misc-activity; sid:398; rev:9; )"
168,399,PROTOCOL-ICMP Destination Unreachable Host Unreachable,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Unreachable""; icode:1; itype:3; metadata:ruleset community; classtype:misc-activity; sid:399; rev:9; )"
169,400,PROTOCOL-ICMP Destination Unreachable Network Unreachable for Type of Service,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Network Unreachable for Type of Service""; icode:11; itype:3; metadata:ruleset community; classtype:misc-activity; sid:400; rev:10; )"
170,401,PROTOCOL-ICMP Destination Unreachable Network Unreachable,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Network Unreachable""; icode:0; itype:3; metadata:ruleset community; classtype:misc-activity; sid:401; rev:9; )"
171,402,PROTOCOL-ICMP destination unreachable port unreachable packet detected,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP destination unreachable port unreachable packet detected""; icode:3; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; classtype:misc-activity; sid:402; rev:16; )"
172,403,PROTOCOL-ICMP Destination Unreachable Precedence Cutoff in effect,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Precedence Cutoff in effect""; icode:15; itype:3; metadata:ruleset community; classtype:misc-activity; sid:403; rev:9; )"
173,404,PROTOCOL-ICMP Destination Unreachable Protocol Unreachable,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Protocol Unreachable""; icode:2; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; classtype:misc-activity; sid:404; rev:14; )"
174,405,PROTOCOL-ICMP Destination Unreachable Source Host Isolated,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Source Host Isolated""; icode:8; itype:3; metadata:ruleset community; classtype:misc-activity; sid:405; rev:9; )"
175,406,PROTOCOL-ICMP Destination Unreachable Source Route Failed,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Source Route Failed""; icode:5; itype:3; metadata:ruleset community; classtype:misc-activity; sid:406; rev:9; )"
176,407,PROTOCOL-ICMP Destination Unreachable cndefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable cndefined code""; icode:>15; itype:3; metadata:ruleset community; classtype:misc-activity; sid:407; rev:10; )"
177,408,PROTOCOL-ICMP Echo Reply,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Echo Reply""; icode:0; itype:0; metadata:ruleset community; classtype:misc-activity; sid:408; rev:8; )"
178,409,PROTOCOL-ICMP Echo Reply undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Echo Reply undefined code""; icode:>0; itype:0; metadata:ruleset community; classtype:misc-activity; sid:409; rev:10; )"
179,410,PROTOCOL-ICMP Fragment Reassembly Time Exceeded,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Fragment Reassembly Time Exceeded""; icode:1; itype:11; metadata:ruleset community; classtype:misc-activity; sid:410; rev:8; )"
180,411,PROTOCOL-ICMP IPV6 I-Am-Here,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 I-Am-Here""; icode:0; itype:34; metadata:ruleset community; classtype:misc-activity; sid:411; rev:8; )"
181,412,PROTOCOL-ICMP IPV6 I-Am-Here undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 I-Am-Here undefined code""; icode:>0; itype:34; metadata:ruleset community; classtype:misc-activity; sid:412; rev:10; )"
182,413,PROTOCOL-ICMP IPV6 Where-Are-You,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 Where-Are-You""; icode:0; itype:33; metadata:ruleset community; classtype:misc-activity; sid:413; rev:8; )"
183,414,PROTOCOL-ICMP IPV6 Where-Are-You undefined code,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 Where-Are-You undefined code""; icode:>0; itype:33; metadata:ruleset community; classtype:misc-activity; sid:414; rev:10; )"
184,415,PROTOCOL-ICMP Information Reply,"alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Information Reply""; icode:0; itype:16; metadata:ruleset community; classtype:misc-activity; sid:415; rev:8; )"
185,416,PROTOCOL-ICMP Information Reply undefined code,"alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Information Reply undefined code""; icode:>0; itype:16; metadata:ruleset community; classtype:misc-activity; sid:416; rev:10; )"
